subject,session,task,run,bold_mni_path,confounds_path,brain_mask_path,bold_exists,confounds_exists,mask_exists,ready_for_analysis
sub-PC012,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC012/ses-01/func/sub-PC012_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC012/ses-01/func/sub-PC012_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC012/ses-01/func/sub-PC012_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC012,ses-02,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC012/ses-02/func/sub-PC012_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC012/ses-02/func/sub-PC012_ses-02_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC012/ses-02/func/sub-PC012_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC013,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC013/ses-01/func/sub-PC013_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC013/ses-01/func/sub-PC013_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC013/ses-01/func/sub-PC013_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC013,ses-02,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC013/ses-02/func/sub-PC013_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC013/ses-02/func/sub-PC013_ses-02_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC013/ses-02/func/sub-PC013_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC014,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC014/ses-01/func/sub-PC014_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC014/ses-01/func/sub-PC014_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC014/ses-01/func/sub-PC014_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC014,ses-02,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC014/ses-02/func/sub-PC014_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC014/ses-02/func/sub-PC014_ses-02_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC014/ses-02/func/sub-PC014_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC015,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC015/ses-01/func/sub-PC015_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC015/ses-01/func/sub-PC015_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC015/ses-01/func/sub-PC015_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC015,ses-02,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC015/ses-02/func/sub-PC015_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC015/ses-02/func/sub-PC015_ses-02_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC015/ses-02/func/sub-PC015_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC016,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC016/ses-01/func/sub-PC016_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC016/ses-01/func/sub-PC016_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC016/ses-01/func/sub-PC016_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC017,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC017/ses-01/func/sub-PC017_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC017/ses-01/func/sub-PC017_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC017/ses-01/func/sub-PC017_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC017,ses-02,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC017/ses-02/func/sub-PC017_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC017/ses-02/func/sub-PC017_ses-02_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC017/ses-02/func/sub-PC017_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC018,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC018/ses-01/func/sub-PC018_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC018/ses-01/func/sub-PC018_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC018/ses-01/func/sub-PC018_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC018,ses-02,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC018/ses-02/func/sub-PC018_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC018/ses-02/func/sub-PC018_ses-02_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC018/ses-02/func/sub-PC018_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC019,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC019/ses-01/func/sub-PC019_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC019/ses-01/func/sub-PC019_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC019/ses-01/func/sub-PC019_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC019,ses-02,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC019/ses-02/func/sub-PC019_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC019/ses-02/func/sub-PC019_ses-02_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC019/ses-02/func/sub-PC019_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC020,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC020/ses-01/func/sub-PC020_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC020/ses-01/func/sub-PC020_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC020/ses-01/func/sub-PC020_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC020,ses-02,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC020/ses-02/func/sub-PC020_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC020/ses-02/func/sub-PC020_ses-02_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC020/ses-02/func/sub-PC020_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC021,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC021/ses-01/func/sub-PC021_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC021/ses-01/func/sub-PC021_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC021/ses-01/func/sub-PC021_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC021,ses-02,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC021/ses-02/func/sub-PC021_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC021/ses-02/func/sub-PC021_ses-02_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC021/ses-02/func/sub-PC021_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC022,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC022/ses-01/func/sub-PC022_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC022/ses-01/func/sub-PC022_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC022/ses-01/func/sub-PC022_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC022,ses-02,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC022/ses-02/func/sub-PC022_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC022/ses-02/func/sub-PC022_ses-02_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC022/ses-02/func/sub-PC022_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC023,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC023/ses-01/func/sub-PC023_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC023/ses-01/func/sub-PC023_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC023/ses-01/func/sub-PC023_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC023,ses-02,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC023/ses-02/func/sub-PC023_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC023/ses-02/func/sub-PC023_ses-02_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC023/ses-02/func/sub-PC023_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
